Name,Cuisine,Neighborhood,Reviews,Price_Scale,Avg_Rating,Sat_Open_Time,Sat_Close_Time,Num_Photos
The Butcher’s Son Vegan Delicatessen & Bakery,Vegan,Downtown Berkeley,1631,2,4.6,1000,1700,1811
The Halal Guys,Halal,Downtown Berkeley,533,1,4.1,1000,2400,132
The Noodle,Thai,Downtown Berkeley,457,1,4.4,1700,2200,498
Tigerlily,Indian,North Berkeley,258,2,4.3,1630,2200,238
Top Dog,Hot Dog,Southside,1056,1,4.6,1100,2700,381
Toss Noodle Bar,Noodle,Downtown Berkeley,568,1,4.4,1100,2130,344
Triple Rock Brewing,Brewpub,Downtown Berkeley,535,2,4.4,1200,2200,536
Tuk Tuk Thai,Thai,Downtown Berkeley,503,2,4.1,1100,2400,246
Turkish Kitchen,Turkish,Downtown Berkeley,254,1,4.3,1100,2000,219
U :Dessert Story,Dessert,North Berkeley,207,2,4.2,1300,2230,424
U Cha,Bubble Tea,Downtown Berkeley,542,1,4.4,1200,2200,212
Udupi Palace,Indian,Downtown Berkeley,155,2,4.1,1130,2100,55
Via Del Corso,Italian,North Berkeley,399,2,4.6,1700,2200,375
Victory Point Cafe,Cafe,North Berkeley,705,1,4.7,1000,2300,342
Yifang Taiwan Fruit Tea,Cafe,Southside,274,2,4.3,1100,2000,314
Yin Ji Chang Fen,Cantonese,Downtown Berkeley,105,1,4.2,1030,2030,205
Yogurt Park,Yogurt,Southside,269,1,4.6,1200,2330,91
Starbucks,Coffee Shop,Downtown Berkeley,304,2,4.0,700,2000,104
